Entity,Code,Year,Solar (TWh growth - equivalent)
Africa,,1972,0
Africa,,1973,0
Africa,,1974,0
Africa,,1975,0
Africa,,1976,0
Africa,,1977,0
Africa,,1978,0
Africa,,1979,0
Africa,,1980,0
Africa,,1981,0
Africa,,1982,0
Africa,,1983,0
Africa,,1984,0
Africa,,1985,0
Africa,,1986,0
Africa,,1987,0
Africa,,1988,0
Africa,,1989,0
Africa,,1990,0
Africa,,1991,0
Africa,,1992,0
Africa,,1993,0
Africa,,1994,0
Africa,,1995,0
Africa,,1996,0
Africa,,1997,0
Africa,,1998,0
Africa,,1999,0
Africa,,2000,0.035309397
Africa,,2001,0.008639861
Africa,,2002,0.005086381
Africa,,2003,0.009138744
Africa,,2004,0.012618747
Africa,,2005,0.0133439675
Africa,,2006,0.023737952
Africa,,2007,0.03486149
Africa,,2008,0.061425164
Africa,,2009,0.06344047
Africa,,2010,0.33206674
Africa,,2011,1.0612874
Africa,,2012,1.0608509
Africa,,2013,-0.57061553
Africa,,2014,3.0123224
Africa,,2015,4.55931
Africa,,2016,4.51668
Africa,,2017,4.270237
Africa,,2018,3.6683102
Africa,,2019,7.169409
Africa,,2020,10.807444
Africa,,2021,6.6986275
Africa,,2022,0.54798126
Africa (EI),,1972,0
Africa (EI),,1973,0
Africa (EI),,1974,0
Africa (EI),,1975,0
Africa (EI),,1976,0
Africa (EI),,1977,0
Africa (EI),,1978,0
Africa (EI),,1979,0
Africa (EI),,1980,0
Africa (EI),,1981,0
Africa (EI),,1982,0
Africa (EI),,1983,0
Africa (EI),,1984,0
Africa (EI),,1985,0
Africa (EI),,1986,0
Africa (EI),,1987,0
Africa (EI),,1988,0
Africa (EI),,1989,0
Africa (EI),,1990,0
Africa (EI),,1991,0
Africa (EI),,1992,0
Africa (EI),,1993,0
Africa (EI),,1994,0
Africa (EI),,1995,0
Africa (EI),,1996,0
Africa (EI),,1997,0
Africa (EI),,1998,0
Africa (EI),,1999,0
Africa (EI),,2000,0.035309445
Africa (EI),,2001,0.008639999
Africa (EI),,2002,0.005086113
Africa (EI),,2003,0.00913889
Africa (EI),,2004,0.012618884
Africa (EI),,2005,0.01334361
Africa (EI),,2006,0.023738056
Africa (EI),,2007,0.034861393
Africa (EI),,2008,0.061425284
Africa (EI),,2009,0.06344026
Africa (EI),,2010,0.33206663
Africa (EI),,2011,1.0612879
Africa (EI),,2012,1.0608509
Africa (EI),,2013,-0.57061553
Africa (EI),,2014,3.012322
Africa (EI),,2015,4.5593104
Africa (EI),,2016,4.51668
Africa (EI),,2017,4.270239
Africa (EI),,2018,3.6683083
Africa (EI),,2019,7.169409
Africa (EI),,2020,10.807444
Africa (EI),,2021,6.6986275
Africa (EI),,2022,0.5479851
Algeria,DZA,1991,0
Algeria,DZA,1992,0
Algeria,DZA,1993,0
Algeria,DZA,1994,0
Algeria,DZA,1995,0
Algeria,DZA,1996,0
Algeria,DZA,1997,0
Algeria,DZA,1998,0
Algeria,DZA,1999,0
Algeria,DZA,2000,0
Algeria,DZA,2001,0
Algeria,DZA,2002,0
Algeria,DZA,2003,0
Algeria,DZA,2004,0
Algeria,DZA,2005,0
Algeria,DZA,2006,0
Algeria,DZA,2007,0
Algeria,DZA,2008,0
Algeria,DZA,2009,0
Algeria,DZA,2010,0.025257777
Algeria,DZA,2011,0.024725556
Algeria,DZA,2012,0.023289446
Algeria,DZA,2013,0.0046741664
Algeria,DZA,2014,0.084598884
Algeria,DZA,2015,-0.0063533336
Algeria,DZA,2016,0.49968165
Algeria,DZA,2017,0.6854161
Algeria,DZA,2018,0.25408328
Algeria,DZA,2019,0.025749564
Algeria,DZA,2020,0.17788494
Algeria,DZA,2021,-0.061534762
Algeria,DZA,2022,0.039993048
Argentina,ARG,1991,0
Argentina,ARG,1992,0
Argentina,ARG,1993,0
Argentina,ARG,1994,0
Argentina,ARG,1995,0
Argentina,ARG,1996,0
Argentina,ARG,1997,0
Argentina,ARG,1998,0.00005026889
Argentina,ARG,1999,0.000026612772
Argentina,ARG,2000,0.000029570001
Argentina,ARG,2001,0.00001987334
Argentina,ARG,2002,0.000010860269
Argentina,ARG,2003,0.000051322786
Argentina,ARG,2004,0.000013207493
Argentina,ARG,2005,0.000030220835
Argentina,ARG,2006,0.000024149995
Argentina,ARG,2007,0.0000518414
Argentina,ARG,2008,0.00009587774
Argentina,ARG,2009,-0.0001913247
Argentina,ARG,2010,0.000025913614
Argentina,ARG,2011,0.0042140777
Argentina,ARG,2012,0.017957276
Argentina,ARG,2013,0.018673308
Argentina,ARG,2014,0.0021108314
Argentina,ARG,2015,-0.003653057
Argentina,ARG,2016,-0.001331389
Argentina,ARG,2017,0.0054808334
Argentina,ARG,2018,0.24239223
Argentina,ARG,2019,1.8218992
Argentina,ARG,2020,1.4226911
Argentina,ARG,2021,2.2328694
Argentina,ARG,2022,1.895442
Asia,,1966,0
Asia,,1967,0
Asia,,1968,0
Asia,,1969,0
Asia,,1970,0
